Downloaded from: https://www.eea.europa.eu/en/europe-environment-2025/countries/switzerland/total-greenhouse-gas-emissions

Sources ,https://www.eea.europa.eu/data-and-maps/data/data-viewers/greenhouse-gases-viewer,EEA,Total GHG emissions and removals in the EU

Geographical coverage ,Switzerland

EU_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Switzerland_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,years

100.0,100.0,1990
97.8350083882,103.3229813391,1991
94.7094959723,102.842482033,1992
93.0688081943,98.173324855,1993
92.6105139887,96.2021681194,1994
93.6552709119,97.8140413463,1995
95.5136946638,98.8661716283,1996
94.0390971446,96.6908007747,1997
93.2214677434,99.4572060024,1998
91.6668120358,99.0624169363,1999
91.4281196606,97.8667966784,2000
92.4297150087,100.6043524416,2001
92.1346843984,97.7563888013,2002
93.6659006149,99.6263769146,2003
93.6370182872,100.6893849668,2004
93.297708788,101.916324689,2005
93.36955008,101.2288934275,2006
92.3534373565,97.7805657921,2007
90.5638483078,100.2609117914,2008
84.0573483025,97.5818058016,2009
85.7172469297,100.476430288,2010
83.4653042995,92.9623662235,2011
82.0118147091,95.4621006064,2012
80.1771338251,96.9538432371,2013
77.2594651763,89.8102553495,2014
78.2631598075,88.8822632685,2015
78.1941100148,89.5255079595,2016
78.6269724558,87.9052609991,2017
76.9590643253,85.0959715641,2018
73.6331073275,84.6552511554,2019
67.6613439311,79.9001821857,2020
71.1036510738,82.2811214682,2021
69.2756373513,75.8359048914,2022
63.7368900721,73.9392479905,2023
null,null,2024
null,null,2025
null,null,2026
null,null,2027
null,null,2028
null,null,2029
null,null,2030

