DATAFLOW,LAST UPDATE,freq,indic_em,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Austria,2009,68.2,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Austria,2010,68.8,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Austria,2011,69.2,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Austria,2012,69.6,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Austria,2013,70.0,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Austria,2014,70.1,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Austria,2015,70.2,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Austria,2016,70.9,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Austria,2017,71.4,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Austria,2018,71.7,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Austria,2019,72.4,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Austria,2020,70.6,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Austria,2021,71.3,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Austria,2022,73.4,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Austria,2023,73.3,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Austria,2024,73.9,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Belgium,2009,61.0,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Belgium,2010,61.6,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Belgium,2011,61.5,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Belgium,2012,61.7,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Belgium,2013,62.1,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Belgium,2014,62.9,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Belgium,2015,63.0,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Belgium,2016,63.0,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Belgium,2017,63.6,b,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Belgium,2018,65.5,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Belgium,2019,66.5,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Belgium,2020,65.6,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Belgium,2021,66.8,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Belgium,2022,68.1,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Belgium,2023,68.3,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Belgium,2024,68.3,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Bulgaria,2009,63.6,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Bulgaria,2010,60.3,b,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Bulgaria,2011,59.4,b,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Bulgaria,2012,59.8,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Bulgaria,2013,60.2,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Bulgaria,2014,61.5,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Bulgaria,2015,63.3,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Bulgaria,2016,63.6,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Bulgaria,2017,66.8,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Bulgaria,2018,67.8,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Bulgaria,2019,70.2,b,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Bulgaria,2020,68.5,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Bulgaria,2021,69.1,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Bulgaria,2022,72.1,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Bulgaria,2023,72.6,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Bulgaria,2024,73.1,b,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Switzerland,2010,73.2,b,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Switzerland,2011,74.6,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Switzerland,2012,75.3,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Switzerland,2013,75.3,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Switzerland,2014,76.2,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Switzerland,2015,76.8,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Switzerland,2016,77.5,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Switzerland,2017,77.4,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Switzerland,2018,77.9,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Switzerland,2019,78.6,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Switzerland,2020,78.3,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Switzerland,2021,78.1,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Switzerland,2022,78.4,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Switzerland,2023,79.2,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Switzerland,2024,79.5,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Cyprus,2009,68.3,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Cyprus,2010,68.8,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Cyprus,2011,67.7,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Cyprus,2012,64.8,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Cyprus,2013,62.2,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Cyprus,2014,63.9,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Cyprus,2015,64.0,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Cyprus,2016,64.1,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Cyprus,2017,66.2,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Cyprus,2018,68.9,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Cyprus,2019,70.7,,
