Country,Real_GDP_Per_Capita_2030,Real_GDP_Per_Capita_Latest,NEET_Rate_2030,NEET_Rate_Latest,Unemployment_Rate_2030,Unemployment_Rate_Latest,Income_Distribution_Ratio_2030,Income_Distribution_Ratio_Latest,Income_Share_Bottom_40_2030,Income_Share_Bottom_40_Latest,Renewable_Energy_Share_2030,Renewable_Energy_Share_Latest,GHG_Emissions_2030,GHG_Emissions_Latest,Status_Real_GDP_Per_Capita,Status_NEET_Rate,Status_Unemployment_Rate,Status_Income_Distribution_Ratio,Status_Income_Share_Bottom_40,Status_Renewable_Energy_Share,Status_GHG_Emissions,Global_Score,Final_Grade
Austria,47857.75,46430.0,11.41,12.16,5.73,4.99,4.36,4.25,22.33,22.7,39.75,35.13,65613834.05,70781704.0,Green,Orange,Red,Red,Red,Orange,Orange,1.71,Off Track (Red)
Belgium,44788.32,43860.0,6.52,7.11,5.13,5.57,3.31,3.53,24.56,24.2,14.28,10.44,97177785.66,112137660.0,Green,Green,Orange,Green,Green,Orange,Orange,2.57,On Track (Green)
Bulgaria,12350.41,10740.0,9.59,12.83,3.77,4.27,9.09,7.3,14.86,17.0,17.88,12.03,51882808.77,57439604.0,Green,Orange,Green,Red,Red,Orange,Orange,2.0,Progressing (Orange)
Croatia,18074.71,15900.0,8.53,11.92,1.01,6.96,3.95,4.57,22.63,21.8,31.35,25.05,18759280.55,21400122.0,Green,Green,Green,Green,Orange,Orange,Orange,2.57,On Track (Green)
Cyprus,26432.53,28730.0,18.89,14.72,13.61,6.81,4.66,4.22,21.11,22.2,10.43,7.77,9067786.16,9523672.0,Red,Red,Red,Red,Red,Orange,Orange,1.29,Off Track (Red)
Czechia,24641.79,21910.0,4.27,7.58,-0.31,2.22,3.31,3.48,25.11,24.6,11.18,7.5,92687106.36,102266870.0,Green,Green,Green,Green,Green,Orange,Orange,2.71,On Track (Green)
Denmark,57898.75,56530.0,9.48,6.77,5.99,4.43,4.35,4.03,22.34,23.3,52.73,40.79,31627387.91,46297870.0,Green,Red,Red,Red,Red,Green,Green,1.86,Progressing (Orange)
Estonia,25315.66,22370.0,10.0,10.73,4.1,5.57,5.27,5.39,19.54,19.5,18.51,13.24,18318506.76,15698651.0,Green,Orange,Green,Orange,Orange,Orange,Red,2.14,Progressing (Orange)
Finland,43847.43,44010.0,8.85,8.07,7.12,6.72,3.6,3.75,24.07,23.7,41.11,34.9,66042042.35,82708450.0,Red,Green,Red,Green,Green,Orange,Orange,2.14,Progressing (Orange)
France,38484.75,37320.0,13.44,11.56,8.81,7.31,4.62,4.6,22.09,22.0,16.96,13.73,316319591.69,356965150.0,Green,Red,Red,Red,Orange,Orange,Orange,1.71,Off Track (Red)
Germany,48653.69,44230.0,3.63,6.8,-1.75,3.12,5.16,4.38,20.41,22.1,26.82,20.33,679518997.28,747968100.0,Green,Green,Green,Red,Red,Orange,Orange,2.14,Progressing (Orange)
Greece,13609.04,18160.0,12.6,11.35,26.82,12.43,5.6,5.2,20.26,20.5,25.08,18.78,26861045.58,66376956.0,Red,Red,Red,Red,Red,Orange,Green,1.43,Off Track (Red)
Hungary,17452.29,16160.0,8.17,9.9,1.13,3.61,4.33,4.16,22.67,23.4,9.89,8.96,44756390.21,54370996.0,Green,Green,Green,Red,Red,Orange,Orange,2.14,Progressing (Orange)
Ireland,99644.93,91760.0,7.94,6.53,6.83,4.5,3.58,3.81,23.97,23.3,26.92,19.42,49874566.68,59881956.0,Green,Green,Red,Green,Orange,Orange,Orange,2.29,Progressing (Orange)
Italy,29471.98,32310.0,20.99,15.86,13.11,8.07,6.35,5.62,18.98,19.8,26.09,15.95,262349135.15,389478270.0,Red,Red,Red,Red,Red,Orange,Green,1.43,Off Track (Red)
Latvia,19206.55,16890.0,6.53,7.77,6.23,6.82,5.94,6.33,19.04,18.7,28.23,26.65,15388537.93,14356233.0,Green,Green,Orange,Orange,Orange,Orange,Red,2.14,Progressing (Orange)
Lithuania,23223.03,19350.0,10.06,9.65,6.4,5.96,6.81,6.39,17.63,18.4,19.54,14.38,27182820.15,23346400.0,Green,Red,Red,Red,Red,Orange,Red,1.43,Off Track (Red)
Luxembourg,105771.16,104100.0,8.64,9.97,6.49,4.59,5.36,4.51,19.67,21.5,13.63,11.03,7202838.64,8188235.0,Green,Green,Red,Red,Red,Orange,Green,2.0,Progressing (Orange)
Netherlands,52842.36,51480.0,2.74,3.26,4.29,3.53,3.92,3.94,23.12,23.2,13.62,14.42,155068685.76,162939860.0,Green,Green,Green,Green,Red,Red,Orange,2.29,Progressing (Orange)
Norway,63195.33,63470.0,5.29,6.23,4.42,3.23,3.65,4.11,24.28,23.6,70.28,69.65,70635668.37,72429870.0,Red,Green,Green,Green,Green,Green,Orange,2.57,On Track (Green)
Poland,18811.13,15840.0,7.61,8.02,-2.9,2.81,3.08,3.91,24.93,23.5,12.08,9.37,357522416.24,364790200.0,Green,Green,Green,Green,Green,Orange,Orange,2.71,On Track (Green)
Portugal,21430.53,21690.0,7.06,7.83,8.23,6.01,4.58,5.13,21.8,20.9,39.83,28.75,48462774.86,57205920.0,Red,Green,Red,Orange,Orange,Orange,Orange,1.86,Progressing (Orange)
Romania,14802.93,12690.0,14.48,17.52,3.87,5.61,6.7,6.0,18.5,19.4,25.02,17.78,81700693.36,102138776.0,Green,Orange,Green,Red,Red,Orange,Orange,2.0,Progressing (Orange)
Slovakia,21922.39,18360.0,9.03,9.99,2.47,6.14,2.92,3.12,26.4,26.0,13.29,9.67,32873462.27,29907428.0,Green,Orange,Green,Green,Green,Orange,Red,2.43,Progressing (Orange)
Slovenia,25467.7,24660.0,7.3,8.23,5.75,4.01,3.41,3.28,24.74,25.2,21.89,15.91,16426920.55,18106360.0,Green,Green,Red,Green,Green,Orange,Orange,2.43,Progressing (Orange)
Spain,26547.38,26820.0,10.9,9.05,21.57,12.92,6.71,5.63,18.37,19.8,28.36,20.88,215966025.52,295155700.0,Red,Red,Red,Red,Red,Orange,Green,1.43,Off Track (Red)
Sweden,51375.39,48390.0,1.73,4.96,7.52,7.39,4.82,4.34,20.77,22.4,56.37,52.43,59751292.88,69974670.0,Green,Green,Red,Red,Red,Green,Orange,2.0,Progressing (Orange)
Switzerland,83740.18,80600.0,9.71,9.71,5.33,4.12,4.66,4.77,21.7,21.4,37.56,31.1,35443363.66,40056236.0,Green,Red,Red,Orange,Orange,Orange,Orange,1.86,Progressing (Orange)
