Country,Real_GDP_Per_Capita,NEET_Rate,Unemployment_Rate,Income_Distribution_Ratio,Income_Share_Bottom_40,Renewable_Energy_Share,GHG_Emissions
Austria,Red,Orange,Red,Red,Red,Orange,Green
Belgium,Red,Green,Green,Green,Green,Orange,Green
Bulgaria,Green,Orange,Green,Red,Red,Orange,Green
Croatia,Green,Green,Green,Green,Green,Orange,Green
Cyprus,Orange,Orange,Green,Green,Green,Orange,Green
Czechia,Green,Green,Green,Green,Green,Orange,Green
Denmark,Orange,Green,Green,Red,Red,Green,Green
Estonia,Green,Green,Green,Red,Red,Orange,Red
Finland,Red,Green,Red,Green,Green,Orange,Green
France,Red,Red,Red,Red,Red,Orange,Green
Germany,Orange,Green,Green,Red,Red,Orange,Green
Greece,Red,Green,Orange,Green,Green,Orange,Green
Hungary,Orange,Orange,Green,Red,Red,Orange,Green
Ireland,Green,Green,Green,Green,Green,Orange,Green
Italy,Red,Orange,Green,Green,Green,Orange,Green
Latvia,Green,Green,Green,Green,Green,Orange,Red
Lithuania,Green,Green,Green,Red,Red,Orange,Red
Luxembourg,Red,Orange,Red,Red,Red,Orange,Green
Netherlands,Red,Green,Green,Red,Red,Orange,Green
Norway,Red,Green,Green,Red,Red,Green,Green
Poland,Green,Green,Green,Green,Green,Orange,Green
Portugal,Red,Green,Green,Green,Green,Orange,Green
Romania,Green,Orange,Green,Red,Red,Orange,Green
Slovakia,Green,Orange,Green,Green,Green,Orange,Red
Slovenia,Red,Green,Green,Red,Red,Orange,Green
Spain,Red,Green,Orange,Green,Green,Orange,Green
Sweden,Orange,Green,Red,Red,Red,Green,Green
Switzerland,Red,Orange,Green,Red,Red,Orange,Green
