Country,Real_GDP_Per_Capita,NEET_Rate,Unemployment_Rate,Income_Distribution_Ratio,Income_Share_Bottom_40,Renewable_Energy_Share,GHG_Emissions
Austria,47570.46,10.41,5.85,4.32,22.49,40.41,64826228.8
Belgium,43865.77,8.76,5.13,3.43,23.87,13.79,95058793.46
Bulgaria,12025.56,8.1,1.62,9.98,14.34,17.58,50961560.9
Croatia,19404.77,2.62,0.0,4.48,23.04,18.21,18877012.1
Cyprus,32680.82,9.99,0.0,3.44,23.98,6.01,8184096.21
Czechia,24342.72,4.38,0.02,3.28,25.14,11.72,96925259.59
Denmark,57050.66,10.14,5.65,4.34,22.22,50.12,29783123.35
Estonia,25184.57,8.78,1.83,5.38,19.23,15.88,24380269.88
Finland,42317.65,9.39,7.66,3.55,24.15,39.17,63759422.31
France,38984.5,14.55,9.6,4.36,22.77,16.77,321801304.6
Germany,50744.88,3.78,0.0,4.83,21.97,27.4,723159830.43
Greece,13456.52,13.71,17.48,3.2,23.46,21.33,23365383.47
Hungary,16635.99,9.04,0.0,4.55,21.7,7.79,40149106.47
Ireland,93691.59,8.58,4.63,3.52,23.85,27.28,47002541.76
Italy,30208.64,17.71,10.51,6.43,18.89,23.38,217100005.07
Latvia,19836.59,3.29,0.79,5.81,19.13,27.7,15666629.67
Lithuania,23838.29,6.16,0.0,8.03,15.81,18.93,29805208.51
Luxembourg,100191.65,4.5,7.3,5.78,18.99,11.6,7807686.26
Netherlands,51695.95,3.48,4.53,4.1,22.72,8.92,172285900.43
Norway,63455.48,6.25,5.41,4.04,23.43,70.39,70749614.22
Poland,18328.36,8.31,0.0,3.61,24.09,11.22,349152589.74
Portugal,21574.01,7.99,9.53,3.66,22.95,32.12,49134529.1
Romania,15027.7,11.71,1.53,8.71,15.91,26.12,70325572.01
Slovakia,21797.03,10.25,3.13,3.01,26.05,14.6,45839222.68
Slovenia,24775.6,5.67,5.94,3.49,24.5,22.04,17587217.35
Spain,28692.4,9.9,15.35,5.9,19.27,21.27,199208514.74
Sweden,51445.73,3.22,6.44,4.97,20.45,52.42,57969040.33
Switzerland,83589.07,6.49,4.82,4.97,21.13,37.97,35990600.48
